phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,n,n_decided,wr_pct,e_r_before,e_r_after,h1_er,h2_er,h1_wr,h2_wr,q1_er,q2_er,q3_er,q4_er,q1_n,q2_n,q3_n,q4_n,concentration_pos_pct,concentration_abs_pct,top_quarter,cluster_n,cluster_trade_n,pass_er,pass_wr_better,pass_wf,pass_concentration,pass_dedup,pass_all,reject_reason
combo,20,4,1,10,0.005,1.2,false,120,29,29,58.6207,0.289655,0.173477,0.065521,0.289144,53.3333,64.2857,-0.015558,0.119573,1.077754,-0.148973,6,9,5,9,83.3539,68.2206,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,5,0.005,1.2,false,80,29,29,58.6207,0.289655,0.173477,0.065521,0.289144,53.3333,64.2857,-0.015558,0.119573,1.077754,-0.148973,6,9,5,9,83.3539,68.2206,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,5,0.005,1.2,false,120,29,29,58.6207,0.289655,0.173477,0.065521,0.289144,53.3333,64.2857,-0.015558,0.119573,1.077754,-0.148973,6,9,5,9,83.3539,68.2206,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,5,1,10,0.005,1.2,false,80,21,21,57.1429,0.257143,0.159531,0.510327,-0.226344,72.7273,40.0000,0.240037,0.735568,0.354406,-0.475237,5,6,3,7,66.1006,44.1188,2,0,0,true,true,false,false,true,false,"walk_forward_fail|concentration>50%_posQ"
combo,30,5,1,10,0.005,1.2,false,120,21,21,57.1429,0.257143,0.159531,0.510327,-0.226344,72.7273,40.0000,0.240037,0.735568,0.354406,-0.475237,5,6,3,7,66.1006,44.1188,2,0,0,true,true,false,false,true,false,"walk_forward_fail|concentration>50%_posQ"
combo,30,5,1,5,0.005,1.2,false,80,21,21,57.1429,0.257143,0.159531,0.510327,-0.226344,72.7273,40.0000,0.240037,0.735568,0.354406,-0.475237,5,6,3,7,66.1006,44.1188,2,0,0,true,true,false,false,true,false,"walk_forward_fail|concentration>50%_posQ"
combo,30,5,1,5,0.005,1.2,false,120,21,21,57.1429,0.257143,0.159531,0.510327,-0.226344,72.7273,40.0000,0.240037,0.735568,0.354406,-0.475237,5,6,3,7,66.1006,44.1188,2,0,0,true,true,false,false,true,false,"walk_forward_fail|concentration>50%_posQ"
combo,30,5,1,10,0.003,1.5,false,80,18,18,55.5556,0.388889,0.282432,0.567737,-0.002873,66.6667,44.4444,0.565407,0.568902,0.554406,-0.281512,3,6,3,6,50.3984,40.3385,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,5,1,10,0.003,1.5,false,120,18,18,55.5556,0.388889,0.282432,0.567737,-0.002873,66.6667,44.4444,0.565407,0.568902,0.554406,-0.281512,3,6,3,6,50.3984,40.3385,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,5,1,5,0.003,1.5,false,80,18,18,55.5556,0.388889,0.282432,0.567737,-0.002873,66.6667,44.4444,0.565407,0.568902,0.554406,-0.281512,3,6,3,6,50.3984,40.3385,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,30,5,1,5,0.003,1.5,false,120,18,18,55.5556,0.388889,0.282432,0.567737,-0.002873,66.6667,44.4444,0.565407,0.568902,0.554406,-0.281512,3,6,3,6,50.3984,40.3385,2,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
ofat,20,3,1,10,0.005,1.5,false,80,18,18,55.5556,0.388889,0.261323,0.269624,0.253021,55.5556,55.5556,0.530558,0.139157,1.342371,-0.291654,3,6,3,6,62.3998,49.0893,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
ofat,20,4,1,10,0.005,1.5,false,80,29,29,55.1724,0.379310,0.263132,0.058854,0.482001,46.6667,64.2857,0.134442,0.008462,1.377754,-0.015640,6,9,5,9,88.6406,87.0637,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
