phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,is_n,is_wr,is_e_r_before,is_e_r_after,is_conc_pct,is_top_q,is_q1_n,is_q2_n,is_q3_n,is_q4_n,is_q1_er,is_q2_er,is_q3_er,is_q4_er,is_cluster_n,is_small_n_flag,oos_n,oos_wr,oos_e_r_before,oos_e_r_after,oos_conc_pct,oos_top_q,oos_q1_n,oos_q2_n,oos_q3_n,oos_q4_n,oos_q1_er,oos_q2_er,oos_q3_er,oos_q4_er,oos_cluster_n,oos_small_n_flag,pass_is_er,pass_oos_er,pass_wr,pass_conc_is,pass_conc_oos,pass_small_n_is,pass_small_n_oos,pass_all,reject_reason,cluster_note
combo,20,5,1,5,0.005,2.5,false,80,55,40.0000,0.400000,0.276149,48.2004,1,12,11,15,17,0.665525,0.151313,0.219952,0.164274,3,false,35,46.8750,0.640625,0.526595,47.0777,4,12,3,5,15,-0.534424,2.403845,1.020073,0.912685,2,true,true,true,false,true,true,true,false,false,"is_wr_not_above_baseline|oos_small_n_pos>30%:Q2_n=3_share=31.0%","IS_clusters=3(6);OOS_clusters=2(4);likely_reentry_after_exit_same_side_le6h"
combo,15,3,1,10,0.003,2.5,true,80,11,40.0000,0.400000,0.270117,48.7005,1,2,3,3,3,0.657741,0.008480,0.074741,0.568011,0,true,10,40.0000,0.400000,0.271455,66.7362,4,4,1,0,5,-1.133103,2.410613,,0.967269,0,true,true,true,false,true,false,false,false,false,"is_wr_not_above_baseline|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=48.7%;Q4_n=3_share=42.1%|oos_small_n_pos>30%:Q2_n=1_share=33.3%",""
combo,15,3,1,5,0.003,2.5,true,80,11,40.0000,0.400000,0.270117,48.7005,1,2,3,3,3,0.657741,0.008480,0.074741,0.568011,0,true,10,40.0000,0.400000,0.271455,66.7362,4,4,1,0,5,-1.133103,2.410613,,0.967269,0,true,true,true,false,true,false,false,false,false,"is_wr_not_above_baseline|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=48.7%;Q4_n=3_share=42.1%|oos_small_n_pos>30%:Q2_n=1_share=33.3%",""
combo,20,5,1.5,10,0.003,2.5,true,40,15,45.4545,0.590909,0.489234,57.0064,4,3,5,3,4,0.693986,-0.242810,0.671664,1.207170,0,true,16,38.4615,0.346154,0.244462,55.7234,2,6,3,1,6,-1.102528,2.421358,,0.641321,1,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=57.0%|oos_small_n_pos>30%:Q2_n=3_share=55.7%","IS_clusters=0(0);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1.5,5,0.003,2.5,true,40,15,45.4545,0.590909,0.489234,57.0064,4,3,5,3,4,0.693986,-0.242810,0.671664,1.207170,0,true,16,38.4615,0.346154,0.244462,55.7234,2,6,3,1,6,-1.102528,2.421358,,0.641321,1,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=57.0%|oos_small_n_pos>30%:Q2_n=3_share=55.7%","IS_clusters=0(0);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1.5,10,0.003,1.5,false,40,43,55.5556,0.388889,0.278893,36.1455,2,10,8,13,12,0.349092,0.453633,0.031704,0.361871,1,false,33,53.3333,0.333333,0.240031,46.8610,4,10,3,5,15,-0.544387,1.422617,0.432438,0.436183,3,true,true,true,true,true,true,true,false,false,"oos_small_n_pos>30%:Q2_n=3_share=35.3%","IS_clusters=1(2);OOS_clusters=3(6);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1.5,5,0.003,1.5,false,40,43,55.5556,0.388889,0.278893,36.1455,2,10,8,13,12,0.349092,0.453633,0.031704,0.361871,1,false,33,53.3333,0.333333,0.240031,46.8610,4,10,3,5,15,-0.544387,1.422617,0.432438,0.436183,3,true,true,true,true,true,true,true,false,false,"oos_small_n_pos>30%:Q2_n=3_share=35.3%","IS_clusters=1(2);OOS_clusters=3(6);likely_reentry_after_exit_same_side_le6h"
ofat,20,3,1,10,0.005,1.5,false,80,27,55.5556,0.388889,0.239258,47.3268,3,5,5,8,9,0.405442,0.342191,0.419842,-0.070769,1,false,20,66.6667,0.666667,0.545848,74.5269,4,6,1,2,11,0.124165,1.410613,0.173597,0.813608,0,false,true,true,true,true,false,true,true,false,"oos_concentration>50%","IS_clusters=1(2);OOS_clusters=0(0);likely_reentry_after_exit_same_side_le6h"
combo,20,3,1,5,0.005,1.5,false,80,27,55.5556,0.388889,0.239258,47.3268,3,5,5,8,9,0.405442,0.342191,0.419842,-0.070769,1,false,20,66.6667,0.666667,0.545848,74.5269,4,6,1,2,11,0.124165,1.410613,0.173597,0.813608,0,false,true,true,true,true,false,true,true,false,"oos_concentration>50%","IS_clusters=1(2);OOS_clusters=0(0);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1.5,10,0.005,1.5,false,40,54,54.5455,0.363636,0.263371,43.1517,1,12,11,15,16,0.589008,0.266445,-0.058036,0.337731,2,false,35,53.1250,0.328125,0.237119,47.0209,4,12,3,5,15,-0.416140,1.422617,0.435449,0.440019,2,true,true,true,true,true,true,true,false,false,"oos_small_n_pos>30%:Q2_n=3_share=35.1%","IS_clusters=2(4);OOS_clusters=2(4);likely_reentry_after_exit_same_side_le6h"
