active_open_time,active_iso,breakout_open_time,quarter,half,side,entry,sl,tp1,outcome,bars_held,sl_dist_pct,tp1_rr,gross_r,fee_r,net_r,net_pnl_pct,range_high,range_low
1733648400000,2024-12-08T09:00:00.000Z,1733644800000,2,H1,SHORT,234.09,239.17516480228045,227.98780223726348,TP,23,2.1723118468454206,1.2,1.2,0.08286103133000526,1.1171389686699946,2.4267742162145,243.89,236.72
1735200000000,2024-12-26T08:00:00.000Z,1735196400000,2,H1,SHORT,189.06,195.5745423127013,181.24254922475842,SL,62,3.4457538943728494,1.2,-1,0.0522382054893567,-1.0522382054893566,-3.6257538943728496,200.04,193.51
1736172000000,2025-01-06T14:00:00.000Z,1736168400000,2,H1,LONG,220.92,215.9454319858364,226.8894816169963,SL,15,2.2517508664510206,1.2,-1,0.07993779537595896,-1.079937795375959,-2.431750866451021,217.79,211.27
1739523600000,2025-02-14T09:00:00.000Z,1739520000000,3,H2,LONG,199.83,195.4726273747038,205.0588471503555,TP,8,2.1805397714538466,1.2,1.2,0.082548368232691,1.1174516317673089,2.436647725744621,197.3,188.7
1740312000000,2025-02-23T12:00:00.000Z,1740308400000,3,H2,SHORT,168.81,171.23439344790245,165.90072786251707,TP,13,1.4361669616150974,1.2,1.2,0.12533361705910154,1.0746663829408984,1.5434003539381136,174.67,169.85
1742997600000,2025-03-26T14:00:00.000Z,1742994000000,3,H2,SHORT,139.93,143.06240812632515,136.17111024840983,TP,5,2.2385536527729193,1.2,1.2,0.08040906224294966,1.1195909377570503,2.5062643833275025,146.03,141.4
1746018000000,2025-04-30T13:00:00.000Z,1746014400000,3,H2,SHORT,140.63,146.26379142740916,133.869450287109,SL,7,4.0061092422734585,1.2,-1,0.044931375834836286,-1.0449313758348362,-4.186109242273458,150.37,144.79
1746576000000,2025-05-07T00:00:00.000Z,1746572400000,3,H2,LONG,148.96,145.28929798835753,153.364842413971,SL,16,2.46421993262787,1.2,-1,0.07304542813597246,-1.0730454281359725,-2.64421993262787,146.72,141.3
1748217600000,2025-05-26T00:00:00.000Z,1748214000000,4,H2,LONG,177.47,173.0674861372918,182.75301663524982,SL,25,2.4807087748397985,1.2,-1,0.07255990780764832,-1.0725599078076482,-2.6607087748397986,174.83,169.05
1749373200000,2025-06-08T09:00:00.000Z,1749369600000,4,H2,SHORT,148.37,149.9717774697451,146.4478670363059,SL,4,1.079583116361183,1.2,-1,0.16673102540423534,-1.1667310254042353,-1.259583116361183,152.34,149
1749963600000,2025-06-15T05:00:00.000Z,1749960000000,4,H2,LONG,147.29,144.9416748791144,150.1079901450627,SL,4,1.5943547565249443,1.2,-1,0.11289833662385654,-1.1128983366238565,-1.7743547565249442,146.15,141.87
1749996000000,2025-06-15T14:00:00.000Z,1749992400000,4,H2,LONG,151.83,146.75769604507124,157.91676474591455,TP,15,3.340778472586953,1.2,1.2,0.05387965753401657,1.1461203424659834,3.8289341671043506,148.06,141.87
1750431600000,2025-06-20T15:00:00.000Z,1750428000000,4,H2,SHORT,142.76,145.61149238536956,139.3382091375565,TP,2,1.997402903733236,1.2,1.2,0.09011702128978179,1.1098829787102182,2.2168834844798875,148.75,144.21
1750438800000,2025-06-20T17:00:00.000Z,1750435200000,4,H2,SHORT,138.26,143.68572557718088,131.74912930738293,TP,28,3.92429160797113,1.2,1.2,0.0458681509891821,1.154131849010818,4.529149929565357,148.75,142.26
1751637600000,2025-07-04T14:00:00.000Z,1751634000000,4,H2,SHORT,148.01,150.36564969436336,145.18322036676395,TP,2,1.5915476618899835,1.2,1.2,0.11309746123860824,1.0869025387613918,1.7298571942679843,153.84,148.92
1753725600000,2025-07-28T18:00:00.000Z,1753722000000,4,H2,SHORT,185.08,188.25862278325437,181.2656526600948,TP,6,1.7174318042221495,1.2,1.2,0.10480765498664134,1.0951923450133587,1.8809181650665792,195.32,186.05
1753873200000,2025-07-30T11:00:00.000Z,1753869600000,4,H2,SHORT,177.21,180.17278256838625,173.65466091793652,SL,3,1.6719048408025763,1.2,-1,0.10766162978126992,-1.10766162978127,-1.8519048408025762,182.73,178.18
